# step source loss verdict alpha
480 0 2.3494 WEAKEN 0.001
481 0 2.4874 WEAKEN 0.041
482 0 2.3686 FREEZE 0.000
483 0 2.4649 FREEZE 0.000
484 0 2.9776 WEAKEN 0.294
485 0 2.3722 PASS 1.000
486 0 1.9668 WEAKEN 0.650
487 0 2.1968 WEAKEN 0.967
488 0 2.4714 WEAKEN 0.132
489 0 2.7122 WEAKEN 0.906
490 0 2.1715 WEAKEN 0.402
491 0 2.3559 WEAKEN 0.655
492 1 2.9576 SCAR 0.000
493 0 2.3285 WEAKEN 0.419
494 0 2.5159 FREEZE 0.000
495 0 2.7367 FREEZE 0.000
496 0 2.5393 WEAKEN 0.551
497 0 2.5477 WEAKEN 0.069
498 0 2.3130 WEAKEN 0.272
499 0 2.6287 WEAKEN 0.134
500 0 2.5392 WEAKEN 0.255
501 0 2.1935 WEAKEN 0.710
502 0 2.3353 WEAKEN 0.973
503 0 2.0735 WEAKEN 0.438
504 0 2.5433 FREEZE 0.000
505 0 2.0799 WEAKEN 0.735
506 0 2.1359 WEAKEN 0.922
507 0 2.1711 WEAKEN 0.818
508 0 1.9608 WEAKEN 0.224
509 0 2.5281 WEAKEN 0.574
510 0 2.5067 WEAKEN 0.553
511 0 2.1115 WEAKEN 0.509
512 1 3.0079 FREEZE 0.000
513 0 2.5303 WEAKEN 0.059
514 0 2.4528 WEAKEN 0.857
515 0 1.9869 WEAKEN 0.482
516 0 2.1535 WEAKEN 0.749
517 1 2.7540 FREEZE 0.000
518 0 2.5262 WEAKEN 0.369
519 1 2.7970 FREEZE 0.000
520 0 2.7159 WEAKEN 0.224
521 0 2.2048 WEAKEN 0.812
522 0 2.3765 WEAKEN 0.291
523 0 2.0988 WEAKEN 0.864
524 0 2.3119 FREEZE 0.000
525 0 2.2819 WEAKEN 0.516
526 0 2.6625 FREEZE 0.000
527 0 2.1047 WEAKEN 0.323
528 0 2.3944 WEAKEN 0.020
529 0 2.0759 WEAKEN 0.621
530 0 2.2339 PASS 1.000
531 0 2.5273 WEAKEN 0.389
532 0 2.4895 WEAKEN 0.404
533 0 2.2495 WEAKEN 0.517
534 0 2.3713 WEAKEN 0.758
535 0 1.9573 WEAKEN 0.298
536 0 2.3842 FREEZE 0.000
537 0 2.2916 WEAKEN 0.581
538 0 2.3110 WEAKEN 0.791
539 0 2.3310 WEAKEN 0.302
540 0 2.1116 WEAKEN 0.162
541 1 2.8796 SCAR 0.000
542 0 2.2006 WEAKEN 0.999
543 0 2.3099 WEAKEN 0.735
544 1 2.8719 FREEZE 0.000
545 0 2.1339 WEAKEN 0.863
546 0 2.3261 WEAKEN 0.202
547 0 2.3536 WEAKEN 0.580
548 0 2.0540 WEAKEN 0.648
549 0 2.3515 WEAKEN 0.218
550 0 2.0894 WEAKEN 0.652
551 0 2.0922 WEAKEN 0.638
552 0 2.5443 FREEZE 0.000
553 0 2.0155 WEAKEN 0.713
554 0 2.6397 SCAR 0.000
555 0 2.5296 WEAKEN 0.464
556 0 2.7264 FREEZE 0.000
557 0 2.2351 WEAKEN 0.798
558 0 2.2218 WEAKEN 0.259
559 0 2.1599 WEAKEN 0.692
560 0 2.2009 WEAKEN 0.528
561 0 2.1035 WEAKEN 0.437
562 1 2.7166 FREEZE 0.000
563 0 2.1546 WEAKEN 0.108
564 0 2.2250 PASS 1.000
565 0 2.2597 WEAKEN 0.710
566 0 2.0327 WEAKEN 0.539
567 0 2.2813 FREEZE 0.000
568 0 2.4660 WEAKEN 0.243
569 0 2.5416 WEAKEN 0.653
570 0 2.1299 WEAKEN 0.677
571 0 1.9802 WEAKEN 0.784
572 0 2.3145 WEAKEN 0.217
573 0 1.9985 WEAKEN 0.939
574 0 2.2413 WEAKEN 0.530
575 0 2.0355 WEAKEN 0.930
576 0 2.2761 WEAKEN 0.430
577 0 2.4194 WEAKEN 0.482
578 0 2.2378 WEAKEN 0.659
579 0 2.4473 WEAKEN 0.211
580 0 2.2669 PASS 1.000
581 0 2.3693 WEAKEN 0.780
582 0 2.4113 WEAKEN 0.218
583 1 2.8374 SCAR 0.000
584 0 2.2185 WEAKEN 0.391
585 1 6.6953 SILENCE 0.000
586 0 2.4303 WEAKEN 0.203
587 0 2.2076 WEAKEN 0.900
588 0 2.6062 FREEZE 0.000
589 0 2.5443 SILENCE 0.000
590 0 2.3956 WEAKEN 0.692
591 0 2.5148 WEAKEN 0.224
592 1 3.0977 SCAR 0.000
593 0 2.5349 WEAKEN 0.497
594 0 2.6205 WEAKEN 0.098
595 0 3.0605 WEAKEN 0.438
596 0 2.2178 WEAKEN 0.595
597 0 2.6824 WEAKEN 0.458
598 0 2.6030 WEAKEN 0.031
599 0 2.2877 WEAKEN 0.626
600 0 2.1151 PASS 1.000
601 0 2.0844 WEAKEN 0.808
602 0 2.2874 FREEZE 0.000
603 0 2.2519 WEAKEN 0.342
604 0 2.3876 FREEZE 0.000
605 0 2.2354 WEAKEN 0.641
606 0 2.1011 WEAKEN 0.833
607 0 2.2106 PASS 1.000
608 0 2.5114 WEAKEN 0.352
609 0 2.2118 WEAKEN 0.863
610 0 1.9435 WEAKEN 0.869
611 0 2.1789 WEAKEN 0.765
612 0 2.1453 WEAKEN 0.734
613 0 1.7782 WEAKEN 0.583
614 0 2.7835 FREEZE 0.000
615 0 2.3785 WEAKEN 0.617
616 0 2.4473 WEAKEN 0.118
617 0 2.5630 WEAKEN 0.532
618 0 2.3096 WEAKEN 0.360
619 0 2.3077 WEAKEN 0.198
620 0 2.2997 WEAKEN 0.517
621 0 2.7687 FREEZE 0.000
622 0 2.9521 WEAKEN 0.682
623 0 2.3969 WEAKEN 0.544
624 0 2.5263 WEAKEN 0.318
625 1 2.4815 FREEZE 0.000
626 0 2.1925 WEAKEN 0.624
627 1 6.6018 SILENCE 0.000
628 0 2.0133 WEAKEN 0.721
629 0 2.0018 WEAKEN 0.410
630 1 4.6874 FREEZE 0.000
631 0 2.3657 WEAKEN 0.300
632 1 8.0475 FREEZE 0.000
633 0 2.4689 WEAKEN 0.023
634 0 2.0730 WEAKEN 0.544
635 0 2.1215 PASS 1.000
636 0 2.1314 WEAKEN 0.379
637 0 2.0512 WEAKEN 0.732
638 0 2.1693 WEAKEN 0.933
639 1 9.0817 FREEZE 0.000
640 0 2.1018 WEAKEN 0.490
641 0 1.8234 WEAKEN 0.797
642 0 1.9831 WEAKEN 0.105
643 0 2.3156 WEAKEN 0.683
644 0 2.1171 PASS 1.000
645 0 2.0612 WEAKEN 0.624
646 0 2.2936 WEAKEN 0.453
647 0 2.0996 WEAKEN 0.952
648 0 2.3496 WEAKEN 0.901
649 0 2.0217 WEAKEN 0.284
650 0 2.2718 WEAKEN 0.759
651 0 2.3362 WEAKEN 0.206
652 1 2.6679 FREEZE 0.000
653 0 2.1666 WEAKEN 0.892
654 0 2.4835 WEAKEN 0.611
655 0 2.4476 FREEZE 0.000
656 1 8.0297 FREEZE 0.000
657 1 2.9825 FREEZE 0.000
658 0 2.0392 WEAKEN 0.062
659 0 2.3120 WEAKEN 0.557
660 0 2.3791 WEAKEN 0.769
661 0 2.1954 FREEZE 0.000
662 0 2.4259 FREEZE 0.000
663 1 2.9686 SCAR 0.000
664 0 2.2401 WEAKEN 0.323
665 0 2.0938 WEAKEN 0.539
666 0 2.5699 SILENCE 0.000
667 0 2.0544 WEAKEN 0.653
668 0 2.2499 FREEZE 0.000
669 0 2.4977 FREEZE 0.000
670 0 2.3918 WEAKEN 0.244
671 0 2.1340 WEAKEN 0.502
672 0 2.2220 WEAKEN 0.276
673 0 2.2856 WEAKEN 0.468
674 1 2.6963 SCAR 0.000
675 0 1.8786 PASS 1.000
676 0 2.8722 WEAKEN 0.073
677 0 2.2482 WEAKEN 0.513
678 1 2.6573 SILENCE 0.000
679 1 3.1796 SCAR 0.000
680 0 2.4926 WEAKEN 0.001
681 0 2.0520 WEAKEN 0.219
682 1 2.7374 SCAR 0.000
683 0 2.2051 WEAKEN 0.639
684 0 2.2931 FREEZE 0.000
685 0 1.9936 WEAKEN 0.663
686 0 2.0388 WEAKEN 0.895
687 0 2.2814 WEAKEN 0.456
688 0 2.0979 WEAKEN 0.637
689 0 2.1595 WEAKEN 0.263
690 0 2.1137 WEAKEN 0.758
691 0 1.9167 WEAKEN 0.619
692 0 2.1286 WEAKEN 0.582
693 0 2.1363 FREEZE 0.000
694 0 2.3409 WEAKEN 0.094
695 1 2.5737 SILENCE 0.000
696 0 2.3876 WEAKEN 0.360
697 0 2.0661 WEAKEN 0.876
698 0 2.4518 WEAKEN 0.023
699 0 2.6460 WEAKEN 0.221
700 0 2.3166 WEAKEN 0.060
701 1 2.7772 FREEZE 0.000
702 0 2.1054 WEAKEN 0.856
703 1 7.6272 FREEZE 0.000
704 0 2.0971 WEAKEN 0.121
705 0 2.0213 WEAKEN 0.604
706 0 2.3056 WEAKEN 0.278
707 0 2.4035 WEAKEN 0.226
708 0 1.8515 WEAKEN 0.836
709 0 2.1267 WEAKEN 0.793
710 0 1.9036 WEAKEN 0.538
711 0 2.6205 WEAKEN 0.251
