# step source loss verdict alpha
365 0 2.2734 FREEZE 0.000
366 0 2.5038 FREEZE 0.000
367 0 2.1646 WEAKEN 0.311
368 0 2.1188 WEAKEN 0.963
369 0 2.9374 FREEZE 0.000
370 0 2.6061 WEAKEN 0.065
371 0 2.4218 WEAKEN 0.198
372 0 2.6042 FREEZE 0.000
373 0 2.3543 WEAKEN 0.723
374 0 2.4194 WEAKEN 0.355
375 1 2.8291 FREEZE 0.000
376 1 6.0986 FREEZE 0.000
377 0 2.1548 WEAKEN 0.751
378 0 2.4803 FREEZE 0.000
379 0 2.0323 WEAKEN 0.999
380 0 2.4733 WEAKEN 0.033
381 0 2.4602 FREEZE 0.000
382 0 2.2014 FREEZE 0.000
383 0 2.3556 WEAKEN 0.689
384 0 2.1981 WEAKEN 0.808
385 0 2.1695 WEAKEN 0.028
386 0 2.4653 WEAKEN 0.184
387 0 2.4737 WEAKEN 0.790
388 0 2.5005 FREEZE 0.000
389 0 2.6263 WEAKEN 0.473
390 0 2.5346 WEAKEN 0.022
391 0 2.4209 WEAKEN 0.461
392 0 2.6645 PASS 1.000
393 0 2.3921 WEAKEN 0.938
394 1 2.7275 FREEZE 0.000
395 0 2.2837 WEAKEN 0.224
396 0 2.2663 WEAKEN 0.726
397 0 2.2682 WEAKEN 0.693
398 0 2.4279 WEAKEN 0.257
399 0 2.7448 WEAKEN 0.342
400 0 2.7526 FREEZE 0.000
401 0 2.0586 WEAKEN 0.988
402 0 2.3228 WEAKEN 0.406
403 0 2.5299 WEAKEN 0.281
404 0 2.1887 WEAKEN 0.693
405 0 2.0202 WEAKEN 0.259
406 0 2.2841 WEAKEN 0.925
407 0 2.2478 WEAKEN 0.940
408 0 2.5116 WEAKEN 0.703
409 0 2.6530 WEAKEN 0.094
410 0 2.4798 WEAKEN 0.053
411 1 3.0323 SCAR 0.000
412 0 2.7948 SILENCE 0.000
413 0 2.1740 WEAKEN 0.871
414 0 2.4577 FREEZE 0.000
415 0 2.2737 WEAKEN 0.884
416 0 2.4776 FREEZE 0.000
417 0 2.5401 WEAKEN 0.231
418 0 2.6057 FREEZE 0.000
419 0 2.7719 FREEZE 0.000
420 0 2.8230 WEAKEN 0.351
421 0 2.5901 FREEZE 0.000
422 0 2.4364 WEAKEN 0.502
423 0 2.6474 FREEZE 0.000
424 0 2.2550 WEAKEN 0.356
425 0 2.3223 PASS 1.000
426 0 2.2728 PASS 1.000
427 0 2.3131 WEAKEN 0.643
428 0 2.4484 WEAKEN 0.329
429 0 2.4377 WEAKEN 0.410
430 0 2.4465 WEAKEN 0.579
431 0 2.5322 WEAKEN 0.773
432 0 2.2471 WEAKEN 0.838
433 0 2.0733 WEAKEN 0.761
434 0 2.1590 WEAKEN 0.494
435 0 2.4450 WEAKEN 0.099
436 0 2.2479 PASS 1.000
437 0 2.2152 WEAKEN 0.387
438 0 2.1782 WEAKEN 0.882
439 0 2.8661 WEAKEN 0.089
440 0 2.3071 PASS 1.000
441 1 2.7128 SCAR 0.000
442 0 2.4009 WEAKEN 0.306
443 0 2.1303 PASS 1.000
444 0 2.5922 WEAKEN 0.237
445 0 2.4974 WEAKEN 0.224
446 0 2.5472 WEAKEN 0.181
447 0 2.4214 WEAKEN 0.322
448 0 2.2597 WEAKEN 0.942
449 0 2.2249 PASS 1.000
450 0 2.3561 WEAKEN 0.849
451 0 2.2052 WEAKEN 0.750
452 0 2.4383 WEAKEN 0.438
453 0 2.3832 WEAKEN 0.349
454 1 2.6118 SILENCE 0.000
455 0 2.7233 FREEZE 0.000
456 1 2.6807 FREEZE 0.000
457 0 2.2715 WEAKEN 0.672
458 0 2.3596 WEAKEN 0.728
459 1 2.6881 SILENCE 0.000
460 1 2.7224 FREEZE 0.000
461 0 2.1679 WEAKEN 0.982
462 0 2.2304 WEAKEN 0.736
463 0 2.3799 WEAKEN 0.961
464 0 2.2633 WEAKEN 0.211
465 1 2.7079 SCAR 0.000
466 1 2.6651 SCAR 0.000
467 0 2.5208 FREEZE 0.000
468 0 2.2307 WEAKEN 0.727
469 0 2.2864 WEAKEN 0.946
470 0 2.1509 PASS 1.000
471 0 2.1577 WEAKEN 0.416
472 0 2.4167 WEAKEN 0.721
473 0 2.5321 WEAKEN 0.456
474 0 2.2614 WEAKEN 0.702
475 0 1.9512 WEAKEN 0.786
476 0 2.2570 WEAKEN 0.699
477 0 2.1489 FREEZE 0.000
478 0 2.4989 WEAKEN 0.083
479 0 2.5554 WEAKEN 0.151
480 0 2.4051 WEAKEN 0.099
481 0 2.3623 WEAKEN 0.074
482 0 2.2692 FREEZE 0.000
483 0 2.4183 FREEZE 0.000
484 0 2.9471 WEAKEN 0.337
485 0 2.2933 PASS 1.000
486 0 1.9153 WEAKEN 0.725
487 0 2.1497 PASS 1.000
488 0 2.3626 WEAKEN 0.217
489 0 2.6214 WEAKEN 0.980
490 0 2.2104 WEAKEN 0.471
491 0 2.3325 WEAKEN 0.738
492 1 2.9845 SCAR 0.000
493 0 2.2950 WEAKEN 0.505
494 0 2.5206 FREEZE 0.000
495 0 2.7467 FREEZE 0.000
496 0 2.5475 WEAKEN 0.617
497 0 2.4239 WEAKEN 0.131
498 0 2.2993 WEAKEN 0.316
499 0 2.6382 WEAKEN 0.177
500 0 2.4909 WEAKEN 0.309
501 0 2.1654 WEAKEN 0.788
502 0 2.2756 PASS 1.000
503 0 2.0467 WEAKEN 0.544
504 0 2.4790 FREEZE 0.000
505 0 2.0440 WEAKEN 0.848
506 0 2.1330 PASS 1.000
507 0 2.1050 WEAKEN 0.929
508 0 1.9831 WEAKEN 0.310
509 0 2.5197 WEAKEN 0.646
510 0 2.4243 WEAKEN 0.642
511 0 2.1780 WEAKEN 0.572
512 1 3.0316 FREEZE 0.000
513 0 2.5034 WEAKEN 0.101
514 0 2.4520 WEAKEN 0.950
515 0 2.0530 WEAKEN 0.548
516 0 2.1801 WEAKEN 0.844
517 1 2.7596 FREEZE 0.000
518 0 2.5240 WEAKEN 0.439
519 1 2.9643 FREEZE 0.000
520 0 2.6148 WEAKEN 0.316
521 0 2.2118 WEAKEN 0.886
522 0 2.3455 WEAKEN 0.337
523 0 1.9698 WEAKEN 0.954
524 0 2.2972 FREEZE 0.000
525 0 2.2876 WEAKEN 0.614
526 0 2.6893 FREEZE 0.000
527 0 2.0417 WEAKEN 0.387
528 0 2.3708 WEAKEN 0.030
529 0 2.0973 WEAKEN 0.694
530 0 2.1909 PASS 1.000
531 0 2.5188 WEAKEN 0.453
532 0 2.4869 WEAKEN 0.489
533 0 2.1746 WEAKEN 0.600
534 0 2.3680 WEAKEN 0.849
535 0 1.9160 WEAKEN 0.377
536 0 2.3495 FREEZE 0.000
537 0 2.2715 WEAKEN 0.648
538 0 2.2583 WEAKEN 0.873
539 0 2.3736 WEAKEN 0.373
540 0 2.1735 WEAKEN 0.194
541 1 2.9491 SCAR 0.000
542 0 2.2802 PASS 1.000
543 0 2.3591 WEAKEN 0.812
544 1 2.9332 FREEZE 0.000
545 0 2.1786 WEAKEN 0.937
546 0 2.4013 WEAKEN 0.244
547 0 2.3818 WEAKEN 0.684
548 0 2.1251 WEAKEN 0.726
549 0 2.3526 WEAKEN 0.237
550 0 2.1314 WEAKEN 0.727
551 0 2.1509 WEAKEN 0.715
552 0 2.5252 FREEZE 0.000
553 0 2.0444 WEAKEN 0.787
554 0 2.5672 SCAR 0.000
555 0 2.5411 WEAKEN 0.565
556 0 2.7196 FREEZE 0.000
557 0 2.3253 WEAKEN 0.889
558 0 2.2294 WEAKEN 0.352
559 0 2.1888 WEAKEN 0.782
560 0 2.2450 WEAKEN 0.575
561 0 2.1511 WEAKEN 0.524
562 1 2.6008 FREEZE 0.000
563 0 2.0888 WEAKEN 0.205
564 0 2.1627 PASS 1.000
565 0 2.2420 WEAKEN 0.784
566 0 2.0955 WEAKEN 0.631
567 0 2.2805 FREEZE 0.000
568 0 2.4408 WEAKEN 0.291
569 0 2.5209 WEAKEN 0.731
570 0 2.1741 WEAKEN 0.763
571 0 2.0190 WEAKEN 0.880
572 0 2.2833 WEAKEN 0.323
573 0 1.9570 PASS 1.000
574 0 2.2728 WEAKEN 0.605
575 0 2.0246 PASS 1.000
576 0 2.2503 WEAKEN 0.512
577 0 2.4196 WEAKEN 0.534
578 0 2.2369 WEAKEN 0.751
579 0 2.3955 WEAKEN 0.278
580 0 2.1744 PASS 1.000
581 0 2.3732 WEAKEN 0.873
582 0 2.4669 WEAKEN 0.292
583 1 2.9200 SCAR 0.000
584 0 2.2360 WEAKEN 0.494
585 1 6.8142 SILENCE 0.000
586 0 2.4484 WEAKEN 0.283
587 0 2.3135 WEAKEN 0.987
588 0 2.6446 WEAKEN 0.060
589 0 2.5704 FREEZE 0.000
590 0 2.3537 WEAKEN 0.802
591 0 2.5123 WEAKEN 0.279
592 1 3.0596 SCAR 0.000
593 0 2.5068 WEAKEN 0.554
594 0 2.5455 WEAKEN 0.117
595 0 3.0120 WEAKEN 0.489
596 0 2.2032 WEAKEN 0.696
597 0 2.6921 WEAKEN 0.501
598 0 2.5813 WEAKEN 0.074
599 0 2.2308 WEAKEN 0.710
600 0 2.1252 PASS 1.000
601 0 2.1192 WEAKEN 0.907
602 0 2.2792 FREEZE 0.000
603 0 2.2177 WEAKEN 0.392
604 0 2.3963 FREEZE 0.000
605 0 2.2125 WEAKEN 0.750
606 0 2.0091 WEAKEN 0.911
607 0 2.1943 PASS 1.000
608 0 2.3948 WEAKEN 0.425
609 0 2.2932 WEAKEN 0.946
610 0 1.9652 WEAKEN 0.973
611 0 2.3147 WEAKEN 0.870
612 0 2.2218 WEAKEN 0.821
613 0 1.7260 WEAKEN 0.659
614 0 2.8283 FREEZE 0.000
615 0 2.4332 WEAKEN 0.683
616 0 2.3716 WEAKEN 0.182
617 0 2.5709 WEAKEN 0.622
618 0 2.3113 WEAKEN 0.448
619 0 2.3262 WEAKEN 0.269
620 0 2.3045 WEAKEN 0.581
621 0 2.7691 FREEZE 0.000
622 0 2.8909 WEAKEN 0.779
623 0 2.3367 WEAKEN 0.614
624 0 2.3909 WEAKEN 0.393
625 1 2.5688 FREEZE 0.000
626 0 2.1367 WEAKEN 0.729
627 1 6.7291 SILENCE 0.000
628 0 1.9864 WEAKEN 0.805
629 0 1.9429 WEAKEN 0.475
630 1 4.6937 FREEZE 0.000
631 0 2.3424 WEAKEN 0.331
632 1 7.9505 FREEZE 0.000
633 0 2.5429 WEAKEN 0.065
634 0 2.1117 WEAKEN 0.617
635 0 2.2102 PASS 1.000
636 0 2.1737 WEAKEN 0.446
637 0 2.1189 WEAKEN 0.838
638 0 2.1806 PASS 1.000
639 1 9.1532 FREEZE 0.000
640 0 2.1159 WEAKEN 0.569
641 0 1.8165 WEAKEN 0.874
642 0 2.0390 WEAKEN 0.168
643 0 2.3957 WEAKEN 0.772
644 0 2.0979 PASS 1.000
645 0 2.0488 WEAKEN 0.712
646 0 2.2722 WEAKEN 0.534
647 0 2.1292 PASS 1.000
648 0 2.4129 WEAKEN 0.965
